,scores
93,-1254.6940877419183
94,-1431.1534971883234
95,-1470.8435462174189
96,-1219.810131721418
97,-1290.0423967519462
98,-1346.93602092882
99,-1376.9786081558213
100,-1303.7268450731394
101,-1342.3284853369298
102,-1513.7291846756882
103,-1207.0680670377128
104,-1354.3237301069407
105,-1263.7274007651602
106,-1232.6382328335178
107,-1449.3185885949047
108,-1487.9354971409189
109,-1268.9328429813932
110,-1368.4644872531132
111,-1262.7581024204962
112,-1360.3570007269577
113,-1444.0247199482953
114,-1167.3309243864933
115,-1339.830162471762
116,-1543.219111595934
117,-910.7057124525596
118,-1356.4338542165963
119,-1349.4500482948745
120,-1491.2757783238123
121,-1233.7724151028076
122,-1419.9091131641746
123,-1306.6375880949145
124,-1255.6084998649228
125,-1338.856200140884
126,-1178.0128255822324
127,-1420.004081944177
128,-1468.5459237394375
129,-1674.7758546191546
130,-1352.2320948385398
131,-1444.6140290471253
132,-1249.501699588446
133,-1441.963249674845
134,-1375.3554126759273
135,-1255.1821911001089
136,-780.4111852734123
137,-1251.2859992737792
138,-1736.1457776514737
139,-1532.6501347090625
140,-1262.067775336359
141,-1273.8543356988378
142,-949.7390890461796
143,-1209.2467212344468
144,-1398.401726400048
145,-1238.5276245131577
146,-1414.6142446441886
147,-1192.6965535258923
148,-1376.9634166880933
149,-1190.0940274009172
150,-1199.4738774219434
151,-1317.8209895099187
152,-1183.4933263227808
153,-1203.0701248282414
154,-1153.0408116840813
155,-1187.2187688952133
156,-1197.1112538680868
157,-1226.0911675787227
158,-1262.4252374702862
159,-1253.138526886829
160,-1299.6635608454924
161,-951.2676711806757
162,-1086.780645302593
163,-1273.0553450033312
164,-1274.0191104223793
165,-1092.344778178562
166,-941.9282433355013
167,-1014.0067101164558
168,-1310.653680963955
169,-1552.820451923455
170,-1167.1131751662706
171,-1174.3355332819453
172,-1336.8273348170942
173,-1177.3629690817247
174,-1095.2023665920235
175,-1246.3600291968476
176,-1121.2472482013625
177,-1135.073900676844
178,-1189.506720781904
179,-1200.3003297113678
180,-890.0154990980008
181,-1248.676762708229
182,-1238.6747168117672
183,-1236.9197193935263
184,-1350.358159668626
185,-1259.2712189056977
186,-1546.85065576701
187,-1232.978068257583
188,-1320.376258689087
189,-1221.2522141890279
190,-965.5685402722015
191,-1325.5061607847006
192,-1101.7704126468104
193,-1439.9927069916087
194,-1146.8894778329288
195,-1104.131775415311
196,-1389.8581396420602
197,-1299.0833869598275
198,-858.4548951464649
199,-990.8282333376821
200,-1239.4116201152258
201,-912.4912184614611
202,-1206.1007860573436
203,-1033.4170200169672
204,-1130.6282663141426
205,-1119.3014427597095
206,-1374.3412018730226
207,-1101.662532706313
208,-1366.9102038667654
209,-1173.2906339508186
210,-1009.805044507897
211,-952.0778563546003
212,-1097.8941799583447
213,-1031.0237409730548
214,-1065.0018180241557
215,-1135.094613356441
216,-1366.8822179503554
217,-1140.1535512548867
218,-1377.3217209807694
219,-1116.3393774725168
220,-1097.4276145655638
221,-1118.416953363313
222,-1290.4546408934611
223,-1111.474596741742
224,-1154.432548532674
225,-1343.1721739117052
226,-1213.0586948173377
227,-919.4990807972447
228,-987.2839700540579
229,-1067.798321121999
230,-1149.6221356032604
231,-1056.920450327059
232,-1266.620605820612
233,-999.9738144988689
234,-1269.8564066993233
235,-754.5571196091238
236,-1230.461794682191
237,-1165.5258991510748
238,-1050.5421580305622
239,-1118.1267595972827
240,-999.4285968703547
241,-1148.3964760995007
242,-1329.5088950730415
243,-1504.4899229560301
244,-1342.585932470554
245,-1095.9110853230745
246,-924.0362441630426
247,-1168.2936997371123
248,-1009.3872888144691
249,-986.3395396332926
250,-1091.760206891388
251,-777.3620362654192
252,-1139.6672505878093
253,-1102.243133607729
254,-1077.4503275914058
255,-1126.5778974689138
256,-1133.7388494205113
257,-1240.1623738021556
