,scores
760,21.0
761,40.0
762,47.0
763,19.0
764,22.0
765,51.0
766,43.0
767,53.0
768,25.0
769,16.0
770,19.0
771,28.0
772,71.0
773,36.0
774,19.0
775,71.0
776,42.0
777,36.0
778,17.0
779,42.0
780,38.0
781,54.0
782,11.0
783,22.0
784,24.0
785,19.0
786,12.0
787,33.0
788,35.0
789,16.0
790,14.0
791,21.0
792,53.0
793,14.0
794,19.0
795,21.0
796,22.0
797,10.0
798,23.0
799,26.0
800,46.0
801,10.0
802,57.0
803,27.0
804,38.0
805,16.0
806,46.0
807,44.0
808,20.0
809,75.0
810,20.0
811,17.0
812,20.0
813,28.0
814,81.0
815,37.0
816,67.0
817,24.0
818,31.0
819,14.0
820,26.0
821,17.0
822,20.0
823,14.0
824,14.0
825,25.0
826,17.0
827,33.0
828,66.0
829,47.0
830,34.0
831,21.0
832,22.0
833,24.0
834,21.0
835,13.0
836,18.0
837,34.0
838,22.0
839,9.0
840,72.0
841,42.0
842,49.0
843,11.0
844,11.0
845,54.0
846,18.0
847,31.0
848,40.0
849,20.0
850,26.0
851,41.0
852,151.0
853,33.0
854,26.0
855,42.0
856,49.0
857,15.0
858,48.0
859,48.0
860,20.0
861,84.0
862,54.0
863,47.0
864,55.0
865,61.0
866,31.0
867,45.0
868,14.0
869,42.0
870,35.0
871,9.0
872,38.0
873,85.0
874,22.0
875,44.0
876,100.0
877,63.0
878,66.0
879,65.0
880,69.0
881,79.0
882,24.0
883,37.0
884,30.0
885,31.0
886,35.0
887,26.0
888,32.0
889,20.0
890,84.0
891,119.0
892,33.0
893,41.0
894,24.0
895,13.0
896,28.0
897,24.0
898,25.0
899,30.0
900,37.0
901,80.0
902,19.0
903,31.0
904,54.0
905,90.0
906,64.0
907,12.0
908,47.0
909,15.0
910,15.0
911,23.0
912,34.0
913,20.0
914,14.0
915,51.0
916,37.0
917,15.0
918,15.0
919,69.0
920,18.0
921,47.0
922,34.0
923,19.0
924,62.0
925,22.0
926,31.0
927,17.0
928,21.0
929,137.0
930,42.0
931,17.0
932,42.0
933,87.0
934,13.0
935,11.0
936,39.0
937,20.0
938,42.0
939,28.0
940,52.0
941,22.0
942,26.0
943,99.0
944,32.0
945,32.0
946,33.0
947,26.0
948,37.0
949,38.0
950,92.0
951,86.0
952,50.0
953,25.0
954,197.0
955,12.0
956,26.0
957,43.0
958,18.0
959,50.0
960,32.0
961,44.0
962,34.0
963,14.0
964,38.0
965,57.0
966,30.0
967,43.0
968,28.0
969,78.0
970,43.0
971,76.0
972,19.0
973,27.0
974,41.0
975,27.0
976,34.0
977,27.0
978,17.0
979,13.0
980,56.0
981,25.0
982,36.0
983,18.0
984,35.0
985,19.0
986,24.0
987,93.0
988,21.0
989,67.0
990,36.0
991,38.0
992,20.0
993,42.0
994,35.0
995,189.0
996,29.0
997,20.0
998,18.0
999,16.0
1000,29.0
1001,44.0
1002,89.0
1003,41.0
1004,40.0
1005,118.0
1006,20.0
1007,14.0
1008,17.0
1009,60.0
