,scores
102,-143.64544750915542
103,-28.061177082169948
104,-156.2023686133744
105,-132.47440681808365
106,-347.3397380702878
107,-188.46389514136234
108,-181.9332223792934
109,6.426622704583693
110,-238.58432643033984
111,-72.53477859983883
112,-81.44346553970219
113,-37.206734931310336
114,-141.13998822056692
115,-261.64194944505437
116,-279.51696235447554
117,-106.5793704041468
118,-374.2188570948578
119,-101.32887057536095
120,-390.9879237308021
121,-278.66386533093055
122,-359.02755624156794
123,-2.399591151693514
124,-619.8734781728696
125,-716.184009846839
126,-667.766940358018
127,-647.0259202488905
128,-147.44239510769125
129,-528.9340970789567
130,-254.9835719642196
131,-673.8227864670824
132,-493.1370515912407
133,-572.3976279062924
134,-192.56492361821165
135,-284.45610039505743
136,-484.5878329187274
137,-394.92937988960364
138,-370.5867188368897
139,-294.16351347500097
140,-316.887011553046
141,-370.16954122565033
142,-256.00541016957084
143,-307.7093941144193
144,-166.21093456857898
145,-541.8488981140542
146,-295.52672780807023
147,-456.03701759085084
148,-395.5042634158116
149,-230.2688762676102
150,-268.06810078463116
151,-475.264804945821
152,-18.69109145306149
153,2.130860421522158
154,-33.06715997583629
155,-19.75732548941123
156,22.926577302715913
157,-343.00218431746407
158,-291.69359740002096
159,-69.88007118487015
160,-222.71202775421756
161,-206.41983446060982
162,-186.16550906377432
163,-297.68123917188103
164,-25.629399624372255
165,-126.67462305750291
166,-121.49309116379202
167,-3.3302758490801097
168,-171.17597466836216
169,-129.94886887263502
170,-160.63393774562377
171,-126.64759373887992
172,-77.94472743439204
173,-79.58458112847632
174,-50.52613481275469
175,-433.6535313371211
176,-36.53122692364011
177,-46.82343175870071
178,-70.94841708445888
179,-71.87077377179163
180,-53.16868381751761
181,-62.612593381864876
182,-62.11715379028419
183,-32.7994757327437
184,-74.01790628552509
185,-67.49560539681755
186,-32.13590770816022
187,-23.86852888196715
188,-65.48002371266229
189,-60.84260117192973
190,-40.75327933028201
191,-87.78928706221951
192,-79.41587129215561
193,-37.28363456125824
194,-135.4968912755076
195,-55.275536075002705
196,-93.1019308558961
197,-88.02708090710748
198,-11.864090695681824
199,-160.69484434688692
200,-82.12774200001962
201,-106.16999745911397
202,-64.95861390278338
203,-71.95090590768378
204,-57.74937472003236
205,-16.812727937881448
206,-38.71159093601801
207,-67.31258759370752
208,-50.19218833167008
209,-88.31644851895228
210,-27.401017132626563
211,-70.48597812866551
212,-47.43930328931248
213,-99.74837138765471
214,-120.52744815419874
215,-45.70791818243424
216,-145.82303569572437
217,-98.36916135134265
218,-126.58473115979268
219,-35.20814427250535
220,-99.53642174860714
