,scores
102,-13.964095572940732
103,-14.356073696202698
104,-13.896554943147166
105,-13.363180317191595
106,-14.139504441622254
107,-13.098274735951074
108,-13.040815240254037
109,-12.839084046044473
110,-14.096019064445182
111,-13.049802087122739
112,-13.97711289452213
113,-13.72340429589166
114,-12.442366992076309
115,-14.452100330593305
116,-13.917336655089523
117,-14.163955754845302
118,-13.733473970100786
119,-14.765427299342615
120,-14.102803502741907
121,-12.686280224295828
122,-13.09434138406603
123,-13.251130216435625
124,-13.836332022217329
125,-12.333728543178184
126,-12.655248240204298
127,-13.537619443696396
128,-14.073210984505316
129,-13.524867586051581
130,-14.676905860488901
131,-13.567173101334935
132,-12.191482576013529
133,-13.883937249175709
134,-13.237148019697564
135,-13.596113541013965
136,-13.548012379899706
137,-13.445268966028873
138,-12.668207040262505
139,-12.897416511960751
140,-13.985549330070116
141,-14.230695844102675
142,-13.69604082219624
143,-14.386086577951078
144,-12.99659502504306
145,-13.90901438329767
146,-13.286023111937903
147,-13.984045136440873
148,-13.485169524729224
149,-13.253256756337082
150,-13.55574980385182
151,-14.225723122520726
152,-12.862989394601666
153,-13.882377910155874
154,-14.604885223179092
155,-12.946504926072697
156,-14.207908259514184
157,-13.027671315760708
158,-14.232308555296084
159,-12.758335975689882
160,-14.066724814062775
161,-14.612608862780208
162,-12.985047240904787
163,-13.106271327519448
164,-13.088914141269214
165,-13.301363418939246
166,-12.952382067661029
167,-14.326248674788925
168,-12.914265912187535
169,-14.68748619919581
170,-15.110261123685143
171,-13.260814046334955
172,-12.473858419353062
173,-14.767914540213685
174,-13.832309114037235
175,-14.067748110885601
176,-13.738475830981995
177,-13.449333775927036
178,-13.06003125818285
179,-14.465756423662615
180,-13.377689516938316
181,-13.444100902437143
182,-14.457848373945753
183,-13.774312882923175
184,-12.629579933779254
185,-13.857467516843196
186,-13.10454825416625
187,-13.194253313553356
188,-12.438279418396196
189,-13.34530741105324
190,-13.160629952947435
191,-14.618913790019734
192,-14.098997925828293
193,-12.903993600024084
194,-13.471835224880474
195,-13.85100266022755
196,-13.745185333684239
197,-14.006409165808677
198,-14.10754558644061
199,-13.833804199849077
200,-12.712170844026451
201,-15.961991991171914
202,-12.810168664108799
203,-14.600519976556889
204,-13.903510449797695
205,-13.074358815619403
206,-13.9825148691978
207,-13.887347200190167
208,-14.26962875211107
209,-13.222055351435396
210,-13.498690961961955
211,-13.208624483886235
212,-13.787199748575532
213,-14.150317176793749
214,-13.481312453008385
215,-14.434669024601728
216,-13.836771075973626
217,-12.861406939147251
218,-13.711691283834003
219,-14.580616824002009
220,-13.481453085340661
221,-13.293999467412151
222,-13.593817156275875
223,-12.741248922456139
224,-13.218950535137699
225,-13.93296555296196
226,-12.65911384303671
227,-14.198257404197824
228,-13.706267029730919
229,-13.711767076749881
230,-13.669393355670225
231,-14.159322369045666
232,-13.540655219917351
233,-13.491505817358195
234,-14.543280265368653
235,-13.041037586539428
236,-14.134282453668588
237,-14.811822715712994
238,-14.436152859809084
239,-14.461787938639173
240,-13.891194140664727
241,-13.629623155228018
242,-15.136777398876344
243,-14.248852477669548
244,-13.83266229380425
245,-13.3889692569755
246,-14.697465442357613
247,-13.318962767166749
248,-12.824400524888866
249,-14.422961060298894
250,-14.114069855848504
251,-13.430705686094127
252,-12.811921207182175
253,-12.925057797405556
254,-13.962531534325766
255,-14.417145596283154
256,-13.389451334263123
257,-13.325863834498257
258,-14.622447014186823
259,-12.590503372588437
260,-13.471907342119026
261,-14.624995489033068
262,-13.53621646621585
263,-13.44513118909432
264,-14.228384327852863
265,-13.203293944574513
266,-13.130907400974198
267,-13.057309594083575
268,-13.55474189465189
269,-14.78215622078954
270,-13.71726469252955
271,-13.608749096492144
272,-13.361597656263502
273,-13.98879135714442
274,-12.803717782728775
275,-13.718791189455876
276,-14.275149481353981
277,-13.817443130998964
278,-12.878159677228355
279,-13.50204918073215
280,-13.55490672460071
281,-13.390053110865107
282,-14.36139659088634
283,-13.566530963058232
284,-13.702429597004715
285,-13.910590725479253
286,-12.826711319884986
287,-13.93395142849185
288,-13.615549166819006
289,-14.870802716506104
290,-13.365884033233641
291,-13.177727428984802
292,-12.379347525240567
293,-13.278740721494458
294,-13.656697803382793
295,-12.902227139590623
296,-14.306543003978621
297,-13.753570751242819
298,-13.803873565967551
299,-13.59209665935441
300,-15.394489678049254
301,-13.373508546353364
302,-13.123083691199758
303,-13.255789094390522
304,-12.98259550595602
305,-13.205200233928664
306,-12.982554852537604
307,-14.310798143729397
308,-12.727635057299626
309,-13.560661269229154
310,-13.720700097076248
311,-13.628818588812344
312,-13.556905103047205
313,-12.642368165951403
314,-13.954642759810705
315,-13.539277961846265
316,-13.92716019882441
317,-13.883795245789539
318,-12.978817554129542
319,-14.018804442730008
320,-13.388174141681867
321,-13.449926195157747
322,-13.52591916353016
323,-13.439002858756309
324,-13.198244803354198
325,-14.12381833648815
326,-13.850035836891154
327,-13.054845372474345
328,-13.858683131678728
329,-14.404075442283652
330,-13.374537568758207
331,-13.43560867950201
332,-14.056446241201458
333,-13.332254252646337
334,-13.13284882911642
335,-14.304974201362267
336,-14.250940929117238
337,-13.026439782551162
338,-13.71119717760043
339,-13.708605587136832
340,-13.676400215312006
341,-14.302644024189176
342,-13.847535654210459
343,-14.288592313819906
344,-13.543748315476918
345,-14.47466784304544
346,-15.107379202458976
347,-13.753474420347695
348,-12.661794160333368
349,-14.212649905094276
350,-13.747678756443158
351,-13.724673687682495
352,-14.090043713381943
353,-13.368504723245245
354,-13.685325258702225
355,-13.058300885885949
356,-14.018614318044497
357,-12.78585267837191
358,-13.759641176451199
