,scores
407,-182.52281085312336
408,-95.16842507887398
409,-237.60014093256325
410,-33.33494524249987
411,-55.56970066866093
412,-98.16491188693489
413,-40.053772685943024
414,-64.24548111789221
415,-20.663790249902448
416,-278.63821518585553
417,-28.964001701551794
418,-8.682391384190439
419,-179.88549486073094
420,-67.3992137737835
421,-50.0298938665469
422,-134.7713522061416
423,-80.82859550863148
424,-137.83283066834713
425,-13.239836445031202
426,-50.99769503513112
427,-24.873160592774525
428,-150.69633825126672
429,-67.64353561154743
430,-36.46369344101629
431,16.38510262162029
432,-37.10133648846111
433,-27.635056326988646
434,15.914165785564478
435,-14.36713062380538
436,-265.53312701321687
437,-297.64598583712007
438,-21.660646144536997
439,-30.428105775268477
440,-39.00910101249127
441,-114.72006214299398
442,44.895116639894866
443,-235.95805808527953
444,-27.934971624679264
445,-53.921518690527215
446,-0.999086520052515
447,-98.93970931334889
448,-26.057134180534476
449,-17.658647354973382
450,-60.786470106825654
451,-186.9566710462296
452,-135.9844503529641
453,-203.31117868001184
454,-31.291548391366817
455,-29.19372201284486
456,7.636492641511666
457,-150.9787571606575
458,-271.53803089951595
459,-49.8268071125907
460,-25.12835812827214
461,-20.563322172967688
462,-299.6917891489808
463,14.081372889332767
464,-34.495904473534154
465,-79.71952731145137
466,39.049178883044675
467,-59.88264100421074
468,-149.6542844888732
469,4.013522778741304
470,-7.0310845574240375
471,22.288096818762988
472,-28.20268039950149
473,-229.2327928848002
474,-255.54768903122715
475,-108.17364542874758
476,-102.50976160493845
477,-4.667298172124163
478,-184.97327139554397
479,-68.3795646521281
480,-16.535911398405446
481,-143.22789571273074
482,-117.21138128866457
483,-535.8015099339661
484,-64.9162671296405
485,-75.88809682124605
486,-20.280087599524578
487,-24.41196386749779
488,-179.8172472397015
489,-4.990149027098795
490,-5.461654271152852
491,-70.8352122384112
492,-45.30260182216777
493,-194.03171181722564
494,-95.38917148880894
495,-95.23401413494052
496,-107.57542967807814
497,-36.88073861873815
498,-27.472112979945194
499,-34.73651029085019
500,-114.5344042637326
501,-253.0560173683279
502,-61.196649272355685
503,-163.13964928286924
504,-47.93467291253905
505,-52.287371436104024
506,-16.834361058816313
507,-82.29566423095952
508,-72.98764779752693
509,33.710469612834856
510,-88.35473845489632
511,-73.2283285977669
512,-184.01563731392832
513,-35.76252171616343
514,-146.65841606199575
515,-39.8803796355678
516,-49.43744504167686
517,-276.66355730307293
518,-37.58302331707932
519,11.707085294896928
520,-434.7424316276947
521,-48.65054331480628
522,-113.51207404875433
523,-44.10710637436559
524,-121.6469474366556
525,10.87225057978658
526,-23.62621445911651
527,-13.502091131719425
528,-36.65328171350764
529,-37.99837056805763
530,-100.51277012652601
531,-238.85909708357096
532,-16.067074343770216
533,30.154295571560027
534,-23.528905235594326
535,85.7956506270474
536,-278.03450291579287
537,-12.290210999251087
538,-22.24351882340669
539,-73.77155129912376
540,-124.01258939349403
541,-18.363953782325396
542,41.86310699438076
543,6.0578230081245295
544,-130.22560805080323
545,-6.742669856831995
546,-18.89343910963848
547,-10.401187304255885
548,33.145558048348335
549,13.163756311188052
550,-18.329080942896027
551,0.39642318415511113
552,-108.53116748703401
553,-42.21135754208569
554,16.185967684429023
555,-46.33936410953643
556,-35.45049706206753
557,5.572567172265195
558,-8.58734472968051
559,-22.615576192432265
560,-33.49778670476118
561,36.84036990402549
562,-62.380166310423185
563,-33.952333414313756
564,69.07739856714903
565,25.923090189092555
566,-99.36843345191393
567,40.541548557822125
568,7.600628873145752
569,-17.112205554239978
570,-159.50565687489888
571,-305.9143747317964
572,-254.23824104759603
573,1.4138293808274498
574,-210.24889341196752
575,-9.968234837922225
576,-32.899748962473424
577,22.274369936887723
578,-40.72444794680458
579,-156.1731128444641
580,10.228017963716159
581,9.429350391222014
582,14.216318391658179
583,66.84874585142292
584,63.15771243432789
585,39.847804746861094
586,60.4803021158954
587,97.68824604374615
588,-3.59912859117091
589,107.48186455747528
590,-36.22458003077437
591,131.81045412152912
592,-3.7777409993811233
593,-33.895073158254405
594,-127.14512442919556
595,-22.6470962649947
596,125.28464163779064
597,-68.80940964951425
598,117.39427103629808
599,-19.414045542139732
600,73.19061405820885
601,59.869553217577796
602,33.23760386269089
603,96.52594917620542
604,93.54695271030798
605,17.40015166682271
606,-57.22398935429583
607,-36.00815739149596
608,-117.91817747099041
609,-11.917103343028629
610,106.01150833780993
611,126.74821140857743
612,146.97030485724275
613,103.23309945995244
614,-10.90848018452266
615,-30.576672819776334
616,-89.75700030996676
617,111.42600137793991
618,-39.15033988445188
619,52.23703066106212
620,74.23341239215453
621,-12.798138698240404
622,-13.224532095285426
623,-73.68235156112999
624,-90.38981903571357
625,61.54977169026
626,39.431869634034584
627,94.74985639123909
628,-59.98692488662329
629,76.54130149785951
630,37.22536056535956
631,57.45147864314523
632,-102.56231643233983
633,77.4925623957932
634,0.8585748139730072
635,21.100440167675742
636,37.207548719843246
637,-56.00696126741365
638,-53.53143961960602
639,20.439030656132907
640,49.59562790268505
641,-73.76720267333835
642,-14.682457214255997
643,83.25957626098644
644,87.44180555614115
645,51.40099363122199
646,84.07034981117468
647,10.359463322281574
648,100.8288027965955
649,64.23409006685073
650,3.7522204005790343
651,76.53036662498485
652,147.1346804824551
653,82.57318302647467
654,102.94551977169328
655,-110.74580203025847
656,119.32825616319143
657,-46.45641088109549
658,99.58533921846971
659,95.60963350453834
660,4.572716715274595
661,107.29165109652726
662,55.51090436877995
663,58.51961437745877
664,136.79684280651898
665,99.37226813233
666,94.17435689401603
667,-31.274079180066664
